WDBC;
Id|uint32;Model|uint32;Sound|uint32;ExtraDisplayInformation|int32;Scale|float;Opacity|int32;Skin1|string;Skin2|string;Skin3|string;PortraitTextureName|string;BloodLevel|uint32;NPCSounds|uint32
4;4;0;0;1;255;;;;HumanMaleCitizenLow;0;0
13;13;0;0;1;255;;;;HumanMaleCitizenLow;0;0
14;14;0;0;1;255;;;;HumanMaleCitizenLow;0;0
15;15;0;0;1;255;;;;HumanMaleCitizenLow;0;0
16;16;0;0;0;255;;;;HumanMaleCitizenLow;0;0
17;17;0;0;0;255;;;;HumanMaleCitizenLow;0;0
18;18;0;0;1;255;;;;HumanMaleCitizenLow;0;0
19;19;0;0;0;255;;;;HumanMaleCitizenLow;0;0
20;20;0;0;1;255;;;;HumanMaleCitizenLow;0;0
21;22;0;0;1;255;HumanMaleCitizenLow;;;HumanMaleCitizenLow;0;0
22;22;0;0;1;255;HumanMaleCitizenLow;;;HumanMaleCitizenLow;0;0
23;23;0;0;1;255;;;;HumanMaleCitizenLow;0;0
26;2382;26;0;1;255;kobold2_Normal;Kobold2_Hat01;;;0;0
30;30;0;0;0,4;255;MineSpiderSkinSteel;;;HumanMaleCitizenLow;0;0
31;2385;0;0;1;255;Murloc2_Green;;;HumanMaleCitizenLow;0;0
33;33;0;0;1;255;OgreSkinBeige;OgreMageSkin2;;;0;0
38;38;0;0;1,15;255;TallStriderSkinTurquoise;;;;0;0
39;39;0;0;1;255;;;;;0;0
40;40;0;0;1;255;TitanMaleSkin01;TitanMaleSkin02;;;0;0
42;42;0;0;1;255;TrollSkinJungleBloodScalpMelee;;;HumanMaleCitizenLow;0;0
49;49;0;0;1;255;;;;HumanMaleCitizenLow;0;0
50;50;0;0;1;255;;;;HumanMaleCitizenLow;0;0
51;51;0;0;1;255;;;;HumanMaleCitizenLow;0;0
52;52;0;0;1;255;;;;HumanMaleCitizenLow;0;0
53;53;0;0;1;255;;;;HumanMaleCitizenLow;0;0
54;54;0;0;1;255;;;;HumanMaleCitizenLow;0;0
55;55;0;0;1;255;;;;HumanMaleCitizenLow;0;0
56;56;0;0;1;255;;;;HumanMaleCitizenLow;0;0
57;57;0;0;1;255;;;;HumanMaleCitizenLow;0;0
58;58;0;0;1;255;;;;HumanMaleCitizenLow;0;0
59;59;0;0;1,35;255;;;;HumanMaleCitizenLow;0;0
60;60;0;0;1;255;;;;HumanMaleCitizenLow;0;0
62;62;0;0;1,3;255;HydraSkinBlue;;;;0;0
64;64;0;0;1;255;;;;HumanMaleCitizenLow;0;0
65;65;0;0;1;255;;;;HumanMaleCitizenLow;0;0
68;2395;0;0;1;255;DoomGuard2_Body_Blue;DoomGuard2_Wings_Blue;;HumanMaleCitizenLow;0;0
69;69;0;0;1;255;RockElementalSkinBrown;;;HumanMaleCitizenLow;0;0
71;71;0;0;1;255;HarvestGolemSkinBrown;HarvestGolemBitsBrown;;HumanMaleCitizenLow;0;0
73;73;0;0;1;255;;;;HumanMaleCitizenLow;0;0
74;22;0;0;1;255;HumanMaleCitizenLow;;;HumanMaleCitizenLow;0;0
79;79;0;0;1;255;HumanMaleKidSkinPeach;;;HumanMaleCitizenLow;0;0
80;80;0;0;1;255;HumanFemaleKidfarmdress;;;HumanMaleCitizenLow;0;0
86;22;0;0;1;255;HumanMaleCitizenLow;;;HumanMaleCitizenLow;0;0
87;22;0;0;1;255;HumanMaleCitizenLow;;;HumanMaleCitizenLow;0;0
88;22;0;0;1;255;HumanMaleCitizenLow;;;HumanMaleCitizenLow;0;0
89;89;0;0;1;255;HumanMalePeasantLightSkin;HumanMalePeasantLogs;;HumanMaleCitizenLow;0;161
91;91;0;0;1;255;SilithidTankSkinViolet;;;HumanMaleCitizenLow;0;0
92;92;0;0;1;255;SilithidFlyerSkinPurple;;;HumanMaleCitizenLow;0;0
93;93;0;0;1;255;HumanFemaleMerchant01_GreenApron;;;HumanMaleCitizenLow;0;0
94;94;0;0;1;255;HumanFemaleFarmer_Bluedress;;;HumanMaleCitizenLow;0;0
95;95;0;0;1;255;HumanFemaleMerchant03Skin1;;;HumanMaleCitizenLow;0;0
96;96;0;0;1;255;;;;HumanMaleCitizenLow;0;0
97;97;0;0;1;255;HumanFemalePeasant_BlackDress;;;HumanMaleCitizenLow;0;0
98;98;0;0;1;255;HumanFemaleWarriorHeavy_SkinLight;;;HumanMaleCitizenLow;0;0
99;99;0;0;1;255;HumanFemaleWarriorLight_Skin01;;;HumanMaleCitizenLow;0;0
100;100;0;0;1;255;HumanFemaleWarriorMedium_SkinBronze;;;HumanMaleCitizenLow;0;0
101;22;0;0;1;255;HumanMaleCitizenLow;;;HumanMaleCitizenLow;0;0
102;102;0;0;1;255;HumanMaleFarmerSkin01;;;HumanMaleCitizenLow;0;0
103;103;0;0;1;255;HumanMaleMerchant03Skin1;;;HumanMaleCitizenLow;0;0
104;104;0;0;1;255;HumanMaleWarriorHeavy_Skin01;;;HumanMaleCitizenLow;0;0
105;105;0;0;1;255;HumanMaleWarriorMediumSkinDark;;;HumanMaleCitizenLow;0;0
106;22;0;0;1;255;HumanMaleCitizenLow;;;HumanMaleCitizenLow;0;0
107;107;0;0;1;255;HumanMaleWarriorLight_Skin01;;;HumanMaleCitizenLow;0;0
108;108;0;0;1;255;HumanMaleCaster_SkinMage;;;HumanMaleCitizenLow;0;0
109;109;0;0;1;255;HumanFemaleCaster_SkinPriest;;;HumanMaleCitizenLow;0;0
110;110;0;0;1,5;255;WaterElementalSkin;;;HumanMaleCitizenLow;0;0
112;112;0;0;1;255;BlackRockClanOrcWarriorSkin;;;HumanMaleCitizenLow;0;0
113;113;0;0;1;255;BlackRockClanOrcRunnerSkin;;;HumanMaleCitizenLow;0;0
115;53;0;23;1;255;DwarfMaleWarriorLightSkin2;;;HumanMaleCitizenLow;0;0
123;123;0;0;1;255;;;;HumanMaleCitizenLow;0;0
125;125;0;0;1;255;HumanMaleMarshalBlonde;;;HumanMaleCitizenLow;0;0
126;22;0;0;1;255;HumanMaleCitizenLow;;;HumanMaleCitizenLow;0;0
127;127;0;0;1;255;PirateCaptain01;;;HumanMaleCitizenLow;0;0
128;128;0;0;1;255;PirateCrewman02;;;HumanMaleCitizenLow;0;0
129;129;0;0;1;255;Swashbuckler02;;;HumanMaleCitizenLow;0;0
130;130;0;0;1;255;DreadLordSkin;DreadLordWingSkin;;HumanMaleCitizenLow;0;0
134;2391;0;0;1,3;255;Squirrel2_Red;;;;0;0
137;45;0;0;1;255;GhoulSkinGrey;;;HumanMaleCitizenLow;0;0
138;40;0;0;1;255;TitanMaleSkin01;TitanMaleSkin02;;;0;0
139;2382;26;0;1;255;kobold2_Normal;Kobold2_Hat01;;;0;0
140;39;0;0;1;255;TitanFemaleSkinBronze1;TitanFemaleSkinBronze2;;;0;0
141;2392;0;0;1;255;Basilisk2_Red;BasiliskCrystalSkinJade;;;0;0
143;47;0;0;1;255;DragonSpawnSkin;DragonSpawnBodySkin;;;0;0
145;8;0;0;1;255;FurbolgSkinBrown;FurbolgStuffBrown;;HumanMaleCitizenLow;0;0
146;9;0;0;1;255;GhostSkin;;;;0;0
148;12;0;0;1;255;HarpyAqua;;;HumanMaleCitizenLow;0;0
149;16;0;0;1;255;HumanThiefSkin;;;HumanMaleCitizenLow;0;0
150;2381;0;0;1;255;KeeperOfTheGrove2_Default;KeeperOfTheGrove2_Leaves;KeeperOfTheGrove2_Belt;HumanMaleCitizenLow;0;0
151;28;0;0;1;255;LavaSpiderSkin;;;HumanMaleCitizenLow;0;0
152;29;0;0;1;255;LostOne_Skin;LostOne_Skullbag;Yellow_Glow2;;0;0
157;36;0;0;1;255;AurokkSkin;;;HumanMaleCitizenLow;0;0
158;70;0;0;1;255;SkeletonSkin;;;HumanMaleCitizenLow;0;0
159;37;0;0;1;255;SuccubusNewSkinMagenta;SuccubusSkinWingMagenta;SuccubusHairMagenta;HumanMaleCitizenLow;0;0
160;41;0;0;1;255;TroglodyteSkinNormal;;;HumanMaleCitizenLow;0;0
161;43;0;0;1;255;WolfSkinCoyote;WolfSkinCoyoteAlpha;;HumanMaleCitizenLow;0;0
162;93;0;0;1;255;HumanFemaleMerchant01_RedApron;;;HumanMaleCitizenLow;0;0
163;2382;26;0;1;255;kobold2_Albino;Kobold2_Hat01;;;0;0
164;126;0;0;1;255;HumanMaleGuard;;;HumanMaleCitizenLow;0;0
165;43;0;0;1;255;WolfSkinTimber;WolfSkinTimberAlpha;;HumanMaleCitizenLow;0;0
166;105;0;0;1;255;HumanMaleWarriorMediumSkinDark;;;HumanMaleCitizenLow;0;0
167;42;0;0;1;255;TrollSkin;;;HumanMaleCitizenLow;0;0
168;2;0;0;1;255;BogBeastSkinGreen;BogBeastSkinGreenAlpha;;HumanMaleCitizenLow;0;0
169;2380;0;0;1;255;Infernal2_Gray;Infernal_FX1;;HumanMaleCitizenLow;0;0
170;2389;0;0;2;255;SeaGiant2;;;;0;0
171;69;0;0;1;255;RockElementalSkinBrown;;;HumanMaleCitizenLow;0;0
172;3;0;0;1;255;CentaurSkin;;;HumanMaleCitizenLow;0;0
173;107;0;0;1;255;HumanMaleWarriorLight_Skin01;;;HumanMaleCitizenLow;0;0
174;10;0;0;1,1;255;RiverPawGnollWhelpSkin;;;HumanMaleCitizenLow;0;0
175;123;0;0;1;255;RiverPawGnollFighterSkin;;;HumanMaleCitizenLow;0;0
176;50;0;469;1;255;HumanFemaleWarriorLight_Skin01;;;HumanMaleCitizenLow;0;0
177;47;0;0;1;255;DragonSpawnSkinBronze;DragonSpawnBodySkinBronze;;;0;0
178;38;0;0;1;255;TallStriderSkinBrown;;;HumanMaleCitizenLow;0;0
179;2383;0;0;1;255;KotoBeast2SkinBrown;;;;0;0
180;34;0;0;0,6;255;RaptorSkinOrange;;;HumanMaleCitizenLow;0;0
181;47;0;0;1;255;DragonSpawnSkinGreen;DragonSpawnBodySkinGreen;;;0;0
182;47;0;0;1;255;DragonSpawnSkinWhite;DragonSpawnBodySkinWhite;;;0;0
184;16;0;0;1;255;HumanThiefSkin_var2;;;HumanMaleCitizenLow;0;0
186;99;0;0;1;255;HumanFemaleWarriorLight_Skin01;;;HumanMaleCitizenLow;0;0
188;2385;0;0;1,1;255;Murloc2_Blue;;;HumanMaleCitizenLow;0;0
190;108;0;0;1;255;HumanMaleCaster_SkinPriest;;;HumanMaleCitizenLow;0;0
191;19;0;0;1;255;;;;HumanMaleCitizenLow;0;0
193;66;0;0;1;255;BoarSkinIvory;;;;0;0
194;42;0;0;1;255;TrollSkinGreen;;;HumanMaleCitizenLow;0;0
195;42;0;0;1;255;TrollSkinArcticFrostManeScout;;;HumanMaleCitizenLow;0;0
196;47;0;0;1;255;DragonSpawnSkinBlue;DragonSpawnBodySkinBlue;;;0;0
197;125;0;0;1;255;HumanMaleMarshalBlonde;;;HumanMaleCitizenLow;0;0
198;108;0;0;1;255;HumanMaleCaster_SkinMage;;;HumanMaleCitizenLow;0;0
200;70;0;0;0,85;255;SkeletonSkinDarkTeal;;;HumanMaleCitizenLow;0;0
201;70;0;0;1;255;SkeletonSkinGreen;;;HumanMaleCitizenLow;0;0
202;44;0;0;1;255;WargenSkinBrown;;;HumanMaleCitizenLow;0;0
203;44;0;0;1;255;WargenSkinBlack;;;HumanMaleCitizenLow;0;0
204;122;0;0;1;255;RiverPawGnollCasterSkin;;;HumanMaleCitizenLow;0;0
207;217;0;0;1,2;255;RidingDireWolfSkinDarkBlack;DireWolfSkinDarkBlackAlpha;;HumanMaleCitizenLow;0;0
208;16;0;0;1;255;HumanThiefSkin_var1;;;HumanMaleCitizenLow;0;0
210;16;0;0;1;255;HumanThiefSkin_var3;;;HumanMaleCitizenLow;0;0
211;102;0;0;1;255;HumanMaleFarmerSkin02;;;HumanMaleCitizenLow;0;0
212;105;0;0;1;255;HumanMaleWarriorMediumSkinLight;;;HumanMaleCitizenLow;0;0
213;97;0;0;1;255;HumanFemalePeasant_BlueDress;;;HumanMaleCitizenLow;0;0
214;102;0;0;1;255;HumanMaleFarmerSkin01;;;HumanMaleCitizenLow;0;0
215;94;0;0;1;255;HumanFemaleFarmer_Browndress;;;HumanMaleCitizenLow;0;0
218;22;0;0;1;255;HumanMaleCitizenLow;;;HumanMaleCitizenLow;0;0
221;79;0;0;1;255;HumanMaleKidSkinOlive;;;HumanMaleCitizenLow;0;0
224;100;0;0;1;255;HumanFemaleWarriorMedium_SkinBronze;;;HumanMaleCitizenLow;0;0
225;96;0;0;1;255;HumanFemaleMerchant02;;;HumanMaleCitizenLow;0;0
226;107;0;0;1;255;HumanMaleWarriorLight_Skin02;;;HumanMaleCitizenLow;0;0
227;103;0;0;1;255;HumanMaleMerchant03Skin1;;;HumanMaleCitizenLow;0;0
228;96;0;0;1;255;HumanFemaleMerchant01;;;HumanMaleCitizenLow;0;0
229;65;0;0;1;255;HorseSkinBrown;;;HumanMaleCitizenLow;0;0
231;16;0;0;1;255;HumanThiefSkin_var6;;;HumanMaleCitizenLow;0;0
232;97;97;0;1;255;HumanFemalePeasant_BlackDress;;;HumanMaleCitizenLow;0;0
235;65;0;0;1;255;HorseSkinEvil;;;HumanMaleCitizenLow;0;0
236;65;0;0;1;255;HorseSkinWhite;;;HumanMaleCitizenLow;0;0
237;65;0;0;1;255;HorseSkinPalamino;;;HumanMaleCitizenLow;0;0
238;65;0;0;1;255;HorseSkinPinto;;;HumanMaleCitizenLow;0;0
239;65;0;0;1;255;HorseSkinBlack;;;HumanMaleCitizenLow;0;0
240;112;0;0;1;255;BlackRockClanOrcWarriorSkin;;;HumanMaleCitizenLow;0;0
242;101;0;0;1;255;HumanMaleMerchant02Skin2;;;HumanMaleCitizenLow;0;0
243;17;0;0;1;255;HumanMaleBlacksmith;;;HumanMaleCitizenLow;0;0
244;113;0;0;1;255;BlackRockClanOrcRunnerSkin;;;HumanMaleCitizenLow;0;0
245;76;0;0;1,25;255;FrenzySkinBlue;;;;0;0
246;73;0;0;1;255;DireWolfSkinDarkBlack;DireWolfSkinDarkBlackAlpha;;HumanMaleCitizenLow;0;0
247;217;0;0;1,2;255;RidingDireWolfSkinBrown;DireWolfSkinBrownAlpha;;HumanMaleCitizenLow;0;0
251;79;0;0;1;255;HumanMaleKidSkinPeach;;;HumanMaleCitizenLow;0;0
252;80;0;0;1;255;HumanFemaleKidfarmdress;;;HumanMaleCitizenLow;0;0
257;80;0;0;1;255;HumanFemaleKiddirtydress;;;HumanMaleCitizenLow;0;0
258;109;0;0;1;255;HumanFemaleCaster_SkinPriest;;;HumanMaleCitizenLow;0;0
262;79;0;0;1;255;HumanMaleKidSkinBrown;;;HumanMaleCitizenLow;0;0
263;108;0;0;1,1;255;HumanMaleCaster_SkinWarlock;;;HumanMaleCitizenLow;0;0
267;101;0;0;1;255;HumanMaleMerchant02Skin1;;;HumanMaleCitizenLow;0;0
268;11;0;0;1;255;GrellSkinBlanca;;;;0;0
269;10;0;0;0,95;255;RedRidgeGnollWhelpSkin;;;HumanMaleCitizenLow;0;0
275;10;0;0;1;255;ShadowHideGnollWhelpSkin;;;HumanMaleCitizenLow;0;0
277;108;0;0;1;255;HumanMaleCaster_DefiasMage;;;HumanMaleCitizenLow;0;0
278;109;0;0;1;255;HumanFemaleCaster_SkinWarlock;;;HumanMaleCitizenLow;0;0
280;23;0;0;1;255;;;;HumanMaleCitizenLow;0;0
282;104;0;0;1;255;HumanMaleWarriorHeavy_Skin01;;;HumanMaleCitizenLow;0;0
